"Stofnun" "Ráðuneyti" "heimilisfang_stonunar" "N_HNIT_WGS84" "E_HNIT_WGS84" "HNITNUM"
"Fjölbrautaskólinn í Breiðholti" "Mennta- og barnamálaráðuneyti" "Austurbergi 5" 64.10611749 -21.81829439 10007389
"Fjölbrautaskólinn við Ármúla" "Mennta- og barnamálaráðuneyti" "Ármúla 12" 64.13760212 -21.88362451 10006721
"Kvennaskólinn í Reykjavík" "Mennta- og barnamálaráðuneyti" "Fríkirkjuvegi 9" 64.14386482 -21.93886285 10010772
"Menntaskólinn við Hamrahlíð" "Mennta- og barnamálaráðuneyti" "Hamrahlíð 10" 64.13047975 -21.90566138 10056786
"Menntaskólinn við Sund" "Mennta- og barnamálaráðuneyti" "Gnoðarvogi 43" 64.13095082 -21.85905443 10090410
"Menntaskólinn við Sund" "Mennta- og barnamálaráðuneyti" "Gnoðarvogi 43" 64.13125269 -21.85968176 10056735
"Íslenskar orkurannsóknir" "Umhverfis- orku og loftslagsráðuneyti" "Grensásvegi 9" 64.13164825 -21.87324716 10011524
"Minjastofnun Íslands" "Umhverfis- orku og loftslagsráðuneyti" "Suðurgötu 39" 64.14293569 -21.94731823 10021973
"Orkustofnun" "Umhverfis- orku og loftslagsráðuneyti" "Grensásvegi 9" 64.13164825 -21.87324716 10011524
"Umhverfisstofnun" "Umhverfis- orku og loftslagsráðuneyti" "Suðurlandsbraut 24" 64.1370568 -21.87670903 10022022
"Úrskurðarnefnd umhverfis- og auðlindamála" "Umhverfis- orku og loftslagsráðuneyti" "Borgartúni 21" 64.14626642 -21.90244853 10067539
"Úrskurðarnefnd umhverfis- og auðlindamála" "Umhverfis- orku og loftslagsráðuneyti" "Borgartúni 21" 64.14656452 -21.90106275 10007627
"Úrvinnslusjóður" "Umhverfis- orku og loftslagsráðuneyti" "Suðurlandsbraut 24" 64.1370568 -21.87670903 10022022
"Veðurstofa Íslands" "Umhverfis- orku og loftslagsráðuneyti" "Bústaðavegi 7" 64.12758439 -21.90673143 10008945
"Þjóðgarðurinn á Þingvöllum" "Umhverfis- orku og loftslagsráðuneyti" "Austurstræti 12" 64.14759437 -21.93933909 10007458
